Global Land and Ocean December Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
189004,-0.39
189005,-0.30
189006,-0.26
189007,-0.26
189008,-0.32
189009,-0.40
189010,-0.25
189011,-0.44
189012,-0.33
189101,-0.28
189102,-0.52
189103,-0.20
189104,-0.22
189105,-0.13
189106,-0.10
189107,-0.11
189108,-0.17
189109,-0.19
189110,-0.20
189111,-0.37
189112,-0.14
189201,-0.19
189202,-0.09
189203,-0.23
189204,-0.26
189205,-0.31
189206,-0.21
189207,-0.32
189208,-0.27
189209,-0.20
189210,-0.29
189211,-0.39
189212,-0.31
189301,-0.54
189302,-0.48
189303,-0.38
189304,-0.33
189305,-0.32
189306,-0.17
189307,-0.20
189308,-0.23
189309,-0.28
189310,-0.28
189311,-0.32
189312,-0.40
189401,-0.53
189402,-0.46
189403,-0.33
189404,-0.41
189405,-0.25
189406,-0.41
189407,-0.21
189408,-0.17
189409,-0.31
189410,-0.32
189411,-0.28
189412,-0.23
189501,-0.33
189502,-0.34
189503,-0.26
189504,-0.20
189505,-0.28
189506,-0.18
189507,-0.10
189508,-0.11
189509,-0.18
189510,-0.18
189511,-0.17
189512,-0.20
189601,-0.17
189602,-0.16
189603,-0.17
189604,-0.30
189605,-0.22
189606,-0.06
189607,-0.07
189608,-0.02
189609,-0.09
189610,0.06
189611,-0.06
189612,-0.04
189701,-0.09
189702,-0.20
189703,-0.14
189704,0.05
189705,-0.05
189706,-0.08
189707,-0.02
189708,-0.03
189709,-0.10
189710,-0.19
189711,-0.15
189712,-0.07
189801,-0.22
189802,-0.30
189803,-0.46
189804,-0.31
189805,-0.22
189806,-0.13
189807,-0.12
189808,-0.14
189809,-0.16
189810,-0.32
189811,-0.40
189812,-0.26
189901,-0.30
189902,-0.34
189903,-0.24
189904,-0.21
189905,-0.24
189906,-0.23
189907,-0.10
189908,-0.03
189909,0.03
189910,-0.15
189911,-0.01
189912,-0.02
190001,-0.27
190002,0.04
190003,0.04
190004,-0.13
190005,-0.06
190006,-0.02
190007,-0.09
190008,-0.08
190009,-0.10
190010,0.05
190011,-0.03
190012,-0.01
190101,-0.20
190102,-0.10
190103,0.11
190104,0.06
190105,-0.12
190106,-0.09
190107,-0.11
190108,-0.11
190109,-0.17
190110,-0.27
190111,-0.18
190112,-0.10
190201,-0.17
190202,-0.06
190203,-0.27
190204,-0.26
190205,-0.23
190206,-0.17
190207,-0.17
190208,-0.20
190209,-0.24
190210,-0.25
190211,-0.27
190212,-0.34
190301,-0.21
190302,-0.21
190303,-0.21
190304,-0.41
190305,-0.32
190306,-0.28
190307,-0.36
190308,-0.41
190309,-0.46
190310,-0.49
190311,-0.38
190312,-0.53
190401,-0.60
190402,-0.52
190403,-0.39
190404,-0.51
190405,-0.49
190406,-0.42
190407,-0.43
190408,-0.44
190409,-0.47
190410,-0.37
190411,-0.21
190412,-0.27
190501,-0.30
190502,-0.49
190503,-0.20
190504,-0.30
190505,-0.21
190506,-0.15
190507,-0.16
190508,-0.25
190509,-0.28
190510,-0.31
190511,-0.16
190512,-0.21
190601,-0.31
190602,-0.21
190603,-0.17
190604,-0.01
190605,-0.17
190606,-0.09
190607,-0.13
190608,-0.19
190609,-0.23
190610,-0.13
190611,-0.24
190612,-0.07
190701,-0.31
190702,-0.48
190703,-0.25
190704,-0.39
190705,-0.45
190706,-0.34
190707,-0.29
190708,-0.26
190709,-0.33
190710,-0.21
190711,-0.39
190712,-0.41
190801,-0.47
190802,-0.25
190803,-0.48
190804,-0.49
190805,-0.42
190806,-0.33
190807,-0.33
190808,-0.43
190809,-0.42
190810,-0.47
190811,-0.44
190812,-0.43
190901,-0.67
190902,-0.42
190903,-0.46
190904,-0.53
190905,-0.44
190906,-0.45
190907,-0.42
190908,-0.33
190909,-0.34
190910,-0.31
190911,-0.29
190912,-0.41
191001,-0.35
191002,-0.40
191003,-0.46
191004,-0.37
191005,-0.30
191006,-0.32
191007,-0.29
191008,-0.30
191009,-0.33
191010,-0.41
191011,-0.35
191012,-0.55
191101,-0.56
191102,-0.58
191103,-0.61
191104,-0.37
191105,-0.49
191106,-0.45
191107,-0.41
191108,-0.39
191109,-0.35
191110,-0.23
191111,-0.17
191112,-0.17
191201,-0.29
191202,-0.19
191203,-0.37
191204,-0.22
191205,-0.19
191206,-0.18
191207,-0.36
191208,-0.45
191209,-0.49
191210,-0.57
191211,-0.29
191212,-0.35
191301,-0.36
191302,-0.37
191303,-0.44
191304,-0.38
191305,-0.41
191306,-0.36
191307,-0.34
191308,-0.24
191309,-0.29
191310,-0.32
191311,-0.23
191312,-0.02
191401,-0.07
191402,-0.12
191403,-0.24
191404,-0.23
191405,-0.18
191406,-0.18
191407,-0.21
191408,-0.21
191409,-0.18
191410,-0.06
191411,0.01
191412,-0.01
191501,-0.15
191502,-0.02
191503,0.00
191504,0.10
191505,0.01
191506,-0.11
191507,-0.05
191508,-0.11
191509,-0.13
191510,-0.19
191511,-0.09
191512,-0.24
191601,-0.13
191602,-0.14
191603,-0.20
191604,-0.20
191605,-0.22
191606,-0.29
191607,-0.31
191608,-0.20
191609,-0.29
191610,-0.31
191611,-0.53
191612,-0.74
191701,-0.52
191702,-0.63
191703,-0.66
191704,-0.51
191705,-0.50
191706,-0.37
191707,-0.18
191708,-0.20
191709,-0.21
191710,-0.43
191711,-0.35
191712,-0.54
191801,-0.49
191802,-0.44
191803,-0.34
191804,-0.43
191805,-0.40
191806,-0.36
191807,-0.27
191808,-0.27
191809,-0.16
191810,-0.10
191811,-0.13
191812,-0.22
191901,-0.05
191902,-0.24
191903,-0.24
191904,-0.03
191905,-0.17
191906,-0.31
191907,-0.26
191908,-0.35
191909,-0.22
191910,-0.25
191911,-0.28
191912,-0.32
192001,-0.16
192002,-0.19
192003,-0.14
192004,-0.27
192005,-0.19
192006,-0.27
192007,-0.29
192008,-0.23
192009,-0.19
192010,-0.20
192011,-0.22
192012,-0.36
192101,-0.10
192102,-0.26
192103,-0.27
192104,-0.29
192105,-0.19
192106,-0.21
192107,-0.12
192108,-0.14
192109,-0.15
192110,-0.02
192111,-0.07
192112,-0.14
192201,-0.19
192202,-0.41
192203,-0.14
192204,-0.14
192205,-0.30
192206,-0.28
192207,-0.29
192208,-0.31
192209,-0.28
192210,-0.29
192211,-0.04
192212,-0.12
192301,-0.29
192302,-0.32
192303,-0.38
192304,-0.32
192305,-0.23
192306,-0.19
192307,-0.31
192308,-0.36
192309,-0.31
192310,-0.17
192311,-0.02
192312,-0.03
192401,-0.16
192402,-0.17
192403,-0.05
192404,-0.19
192405,-0.14
192406,-0.18
192407,-0.30
192408,-0.35
192409,-0.28
192410,-0.30
192411,-0.22
192412,-0.33
192501,-0.42
192502,-0.36
192503,-0.24
192504,-0.17
192505,-0.20
192506,-0.26
192507,-0.22
192508,-0.22
192509,-0.22
192510,-0.10
192511,-0.03
192512,0.05
192601,0.17
192602,0.04
192603,0.10
192604,0.02
192605,-0.19
192606,-0.14
192607,-0.22
192608,-0.17
192609,-0.13
192610,0.01
192611,-0.07
192612,-0.24
192701,-0.25
192702,-0.15
192703,-0.33
192704,-0.28
192705,-0.22
192706,-0.16
192707,-0.17
192708,-0.06
192709,-0.07
192710,0.00
192711,-0.02
192712,-0.27
192801,-0.08
192802,-0.11
192803,-0.21
192804,-0.21
192805,-0.18
192806,-0.18
192807,-0.19
192808,-0.21
192809,-0.09
192810,-0.18
192811,-0.09
192812,-0.10
192901,-0.34
192902,-0.43
192903,-0.31
192904,-0.39
192905,-0.34
192906,-0.39
192907,-0.37
192908,-0.22
192909,-0.20
192910,-0.15
192911,-0.17
192912,-0.46
193001,-0.31
193002,-0.23
193003,-0.15
193004,-0.13
193005,-0.16
193006,-0.12
193007,-0.08
193008,-0.12
193009,-0.13
193010,-0.06
193011,0.19
193012,0.02
193101,-0.02
193102,-0.17
193103,-0.05
193104,-0.14
193105,-0.13
193106,-0.02
193107,-0.01
193108,0.01
193109,0.02
193110,0.03
193111,-0.03
193112,-0.02
193201,0.13
193202,-0.20
193203,-0.11
193204,-0.02
193205,-0.12
193206,-0.12
193207,-0.21
193208,-0.26
193209,-0.06
193210,-0.06
193211,-0.24
193212,-0.19
193301,-0.16
193302,-0.28
193303,-0.21
193304,-0.19
193305,-0.22
193306,-0.25
193307,-0.23
193308,-0.23
193309,-0.31
193310,-0.18
193311,-0.27
193312,-0.33
193401,-0.26
193402,-0.08
193403,-0.26
193404,-0.26
193405,-0.05
193406,-0.10
193407,-0.09
193408,-0.08
193409,-0.05
193410,-0.01
193411,0.06
193412,-0.02
193501,-0.29
193502,0.12
193503,-0.16
193504,-0.35
193505,-0.24
193506,-0.26
193507,-0.11
193508,-0.11
193509,-0.10
193510,-0.05
193511,-0.16
193512,-0.08
193601,-0.28
193602,-0.26
193603,-0.19
193604,-0.14
193605,-0.14
193606,-0.15
193607,-0.04
193608,-0.01
193609,-0.06
193610,0.02
193611,-0.02
193612,0.01
193701,-0.06
193702,0.01
193703,-0.18
193704,-0.16
193705,-0.03
193706,-0.02
193707,-0.02
193708,0.08
193709,0.15
193710,0.11
193711,0.12
193712,-0.03
193801,0.04
193802,0.06
193803,0.08
193804,0.07
193805,-0.05
193806,-0.18
193807,-0.02
193808,-0.02
193809,0.05
193810,0.10
193811,0.07
193812,-0.08
193901,-0.06
193902,-0.06
193903,-0.22
193904,-0.11
193905,0.00
193906,0.00
193907,0.04
193908,0.08
193909,-0.02
193910,-0.02
193911,0.10
193912,0.48
194001,0.14
194002,0.13
194003,0.14
194004,0.24
194005,0.16
194006,0.08
194007,0.10
194008,0.05
194009,0.12
194010,0.17
194011,0.19
194012,0.36
194101,0.19
194102,0.33
194103,0.14
194104,0.25
194105,0.21
194106,0.18
194107,0.21
194108,0.23
194109,0.11
194110,0.32
194111,0.27
194112,0.30
194201,0.31
194202,0.02
194203,0.08
194204,0.14
194205,0.11
194206,0.13
194207,0.02
194208,0.05
194209,0.06
194210,0.03
194211,0.11
194212,0.07
194301,0.00
194302,0.08
194303,-0.04
194304,0.12
194305,0.02
194306,-0.10
194307,0.09
194308,0.03
194309,0.05
194310,0.24
194311,0.21
194312,0.23
194401,0.32
194402,0.29
194403,0.31
194404,0.20
194405,0.24
194406,0.21
194407,0.16
194408,0.17
194409,0.33
194410,0.27
194411,0.21
194412,0.19
194501,0.21
194502,0.08
194503,0.08
194504,0.29
194505,0.15
194506,0.12
194507,0.11
194508,0.35
194509,0.22
194510,0.13
194511,0.12
194512,0.00
194601,0.19
194602,0.02
194603,-0.04
194604,0.02
194605,0.00
194606,-0.13
194607,-0.10
194608,-0.14
194609,-0.04
194610,-0.06
194611,0.01
194612,-0.18
194701,0.01
194702,0.02
194703,0.05
194704,0.08
194705,0.00
194706,0.08
194707,0.00
194708,-0.08
194709,-0.11
194710,0.02
194711,-0.01
194712,-0.10
194801,0.01
194802,-0.09
194803,-0.22
194804,-0.05
194805,0.11
194806,-0.06
194807,-0.03
194808,-0.05
194809,-0.11
194810,-0.03
194811,-0.08
194812,-0.21
194901,0.09
194902,-0.11
194903,0.03
194904,-0.05
194905,0.00
194906,-0.15
194907,-0.07
194908,-0.08
194909,-0.15
194910,-0.06
194911,-0.11
194912,-0.10
195001,-0.20
195002,-0.21
195003,-0.06
195004,-0.17
195005,0.00
195006,-0.01
195007,-0.06
195008,-0.10
195009,-0.08
195010,-0.19
195011,-0.30
195012,-0.21
195101,-0.32
195102,-0.38
195103,-0.12
195104,-0.15
195105,0.03
195106,0.03
195107,0.04
195108,0.10
195109,0.14
195110,0.12
195111,0.00
195112,0.18
195201,0.15
195202,0.12
195203,-0.02
195204,0.09
195205,0.01
195206,0.01
195207,0.06
195208,0.06
195209,0.07
195210,0.04
195211,-0.07
195212,0.03
195301,0.09
195302,0.17
195303,0.17
195304,0.26
195305,0.17
195306,0.17
195307,0.00
195308,0.03
195309,0.00
195310,0.09
195311,-0.02
195312,0.05
195401,-0.17
195402,-0.05
195403,-0.12
195404,-0.16
195405,-0.17
195406,-0.09
195407,-0.08
195408,-0.11
195409,-0.09
195410,-0.02
195411,0.04
195412,-0.12
195501,0.13
195502,-0.18
195503,-0.29
195504,-0.20
195505,-0.14
195506,-0.11
195507,-0.09
195508,0.04
195509,-0.07
195510,-0.07
195511,-0.23
195512,-0.27
195601,-0.08
195602,-0.16
195603,-0.14
195604,-0.24
195605,-0.26
195606,-0.16
195607,-0.10
195608,-0.25
195609,-0.19
195610,-0.24
195611,-0.14
195612,-0.02
195701,-0.04
195702,-0.07
195703,-0.07
195704,0.04
195705,0.10
195706,0.18
195707,0.07
195708,0.16
195709,0.11
195710,0.05
195711,0.06
195712,0.10
195801,0.36
195802,0.20
195803,0.14
195804,0.07
195805,0.09
195806,0.04
195807,0.12
195808,0.01
195809,-0.02
195810,0.03
195811,0.00
195812,0.09
195901,0.12
195902,0.10
195903,0.21
195904,0.14
195905,0.09
195906,0.09
195907,0.09
195908,0.05
195909,0.02
195910,-0.01
195911,-0.04
195912,0.02
196001,0.04
196002,0.16
196003,-0.24
196004,-0.11
196005,-0.07
196006,-0.01
196007,0.01
196008,0.04
196009,0.07
196010,0.05
196011,-0.12
196012,0.23
196101,0.11
196102,0.17
196103,0.11
196104,0.15
196105,0.14
196106,0.13
196107,0.07
196108,0.05
196109,0.07
196110,-0.02
196111,0.03
196112,-0.11
196201,0.06
196202,0.15
196203,0.17
196204,0.05
196205,-0.05
196206,0.03
196207,0.03
196208,0.00
196209,0.03
196210,0.03
196211,0.11
196212,0.03
196301,0.02
196302,0.21
196303,-0.11
196304,-0.03
196305,-0.04
196306,0.03
196307,0.08
196308,0.20
196309,0.17
196310,0.13
196311,0.11
196312,0.05
196401,-0.05
196402,-0.11
196403,-0.22
196404,-0.27
196405,-0.21
196406,-0.04
196407,-0.03
196408,-0.12
196409,-0.24
196410,-0.28
196411,-0.24
196412,-0.24
196501,-0.07
196502,-0.16
196503,-0.12
196504,-0.17
196505,-0.11
196506,-0.09
196507,-0.07
196508,-0.02
196509,-0.07
196510,0.00
196511,0.00
196512,-0.04
196601,-0.15
196602,-0.04
196603,0.00
196604,-0.11
196605,-0.05
196606,0.04
196607,0.13
196608,-0.02
196609,0.00
196610,-0.14
196611,-0.03
196612,-0.02
196701,-0.09
196702,-0.20
196703,0.04
196704,-0.02
196705,0.18
196706,0.00
196707,0.02
196708,0.03
196709,0.01
196710,0.12
196711,-0.05
196712,0.02
196801,-0.22
196802,-0.13
196803,0.17
196804,-0.05
196805,-0.07
196806,-0.02
196807,-0.09
196808,-0.02
196809,-0.09
196810,0.05
196811,-0.10
196812,-0.11
196901,-0.06
196902,-0.07
196903,0.07
196904,0.18
196905,0.22
196906,0.10
196907,0.03
196908,0.06
196909,0.11
196910,0.13
196911,0.14
196912,0.29
197001,0.17
197002,0.20
197003,0.11
197004,0.09
197005,0.02
197006,0.02
197007,0.05
197008,-0.05
197009,0.10
197010,0.01
197011,0.01
197012,-0.10
197101,-0.04
197102,-0.15
197103,-0.10
197104,-0.06
197105,-0.01
197106,-0.09
197107,-0.03
197108,0.00
197109,0.04
197110,-0.09
197111,-0.10
197112,-0.07
197201,-0.19
197202,-0.13
197203,0.08
197204,0.06
197205,0.00
197206,0.12
197207,0.07
197208,0.20
197209,0.09
197210,0.11
197211,0.03
197212,0.23
197301,0.31
197302,0.34
197303,0.29
197304,0.32
197305,0.28
197306,0.27
197307,0.15
197308,0.10
197309,0.13
197310,0.10
197311,0.04
197312,0.00
197401,-0.09
197402,-0.26
197403,-0.06
197404,-0.08
197405,0.00
197406,0.00
197407,0.01
197408,0.11
197409,-0.05
197410,-0.03
197411,-0.10
197412,-0.10
197501,0.05
197502,0.10
197503,0.15
197504,0.09
197505,0.15
197506,0.08
197507,0.02
197508,-0.10
197509,0.02
197510,-0.15
197511,-0.19
197512,-0.12
197601,-0.02
197602,-0.08
197603,-0.16
197604,-0.02
197605,-0.18
197606,-0.07
197607,0.00
197608,-0.04
197609,0.02
197610,-0.21
197611,-0.05
197612,0.15
197701,0.25
197702,0.20
197703,0.22
197704,0.26
197705,0.31
197706,0.28
197707,0.22
197708,0.22
197709,0.12
197710,0.07
197711,0.19
197712,0.09
197801,0.11
197802,0.16
197803,0.21
197804,0.15
197805,0.11
197806,0.04
197807,0.08
197808,-0.07
197809,0.10
197810,0.05
197811,0.18
197812,0.13
197901,0.16
197902,-0.05
197903,0.17
197904,0.09
197905,0.14
197906,0.19
197907,0.12
197908,0.21
197909,0.27
197910,0.28
197911,0.27
197912,0.51
198001,0.37
198002,0.46
198003,0.35
198004,0.34
198005,0.39
198006,0.27
198007,0.31
198008,0.28
198009,0.25
198010,0.19
198011,0.26
198012,0.23
198101,0.52
198102,0.43
198103,0.47
198104,0.34
198105,0.28
198106,0.33
198107,0.32
198108,0.34
198109,0.22
198110,0.25
198111,0.29
198112,0.46
198201,0.09
198202,0.21
198203,0.05
198204,0.15
198205,0.17
198206,0.10
198207,0.18
198208,0.11
198209,0.20
198210,0.16
198211,0.16
198212,0.44
198301,0.49
198302,0.45
198303,0.42
198304,0.28
198305,0.37
198306,0.30
198307,0.23
198308,0.36
198309,0.42
198310,0.22
198311,0.35
198312,0.23
198401,0.30
198402,0.19
198403,0.30
198404,0.12
198405,0.36
198406,0.10
198407,0.17
198408,0.21
198409,0.24
198410,0.16
198411,0.08
198412,0.01
198501,0.28
198502,0.04
198503,0.21
198504,0.14
198505,0.19
198506,0.19
198507,0.04
198508,0.17
198509,0.17
198510,0.13
198511,0.11
198512,0.19
198601,0.28
198602,0.39
198603,0.30
198604,0.25
198605,0.27
198606,0.17
198607,0.17
198608,0.19
198609,0.12
198610,0.17
198611,0.13
198612,0.21
198701,0.34
198702,0.38
198703,0.20
198704,0.26
198705,0.31
198706,0.36
198707,0.48
198708,0.31
198709,0.40
198710,0.33
198711,0.26
198712,0.45
198801,0.54
198802,0.46
198803,0.52
198804,0.45
198805,0.46
198806,0.43
198807,0.36
198808,0.40
198809,0.38
198810,0.36
198811,0.14
198812,0.28
198901,0.10
198902,0.32
198903,0.32
198904,0.31
198905,0.20
198906,0.22
198907,0.30
198908,0.33
198909,0.39
198910,0.31
198911,0.17
198912,0.41
199001,0.38
199002,0.38
199003,0.75
199004,0.61
199005,0.51
199006,0.39
199007,0.41
199008,0.35
199009,0.32
199010,0.42
199011,0.41
199012,0.41
199101,0.40
199102,0.50
199103,0.37
199104,0.52
199105,0.42
199106,0.54
199107,0.48
199108,0.41
199109,0.42
199110,0.32
199111,0.30
199112,0.29
199201,0.43
199202,0.43
199203,0.47
199204,0.29
199205,0.34
199206,0.29
199207,0.14
199208,0.10
199209,0.03
199210,0.06
199211,0.04
199212,0.20
199301,0.33
199302,0.39
199303,0.36
199304,0.32
199305,0.30
199306,0.31
199307,0.26
199308,0.18
199309,0.19
199310,0.25
199311,0.08
199312,0.20
199401,0.22
199402,0.06
199403,0.30
199404,0.39
199405,0.33
199406,0.43
199407,0.32
199408,0.24
199409,0.35
199410,0.44
199411,0.43
199412,0.38
199501,0.54
199502,0.76
199503,0.51
199504,0.50
199505,0.33
199506,0.46
199507,0.49
199508,0.53
199509,0.41
199510,0.43
199511,0.46
199512,0.30
199601,0.27
199602,0.49
199603,0.38
199604,0.34
199605,0.33
199606,0.29
199607,0.37
199608,0.45
199609,0.28
199610,0.20
199611,0.39
199612,0.36
199701,0.26
199702,0.37
199703,0.51
199704,0.39
199705,0.39
199706,0.56
199707,0.42
199708,0.46
199709,0.61
199710,0.64
199711,0.62
199712,0.58
199801,0.59
199802,0.81
199803,0.64
199804,0.72
199805,0.70
199806,0.73
199807,0.70
199808,0.71
199809,0.50
199810,0.44
199811,0.44
199812,0.58
199901,0.47
199902,0.64
199903,0.37
199904,0.37
199905,0.32
199906,0.41
199907,0.38
199908,0.38
199909,0.42
199910,0.34
199911,0.36
199912,0.46
200001,0.31
200002,0.55
200003,0.53
200004,0.59
200005,0.36
200006,0.38
200007,0.40
200008,0.44
200009,0.44
200010,0.31
200011,0.30
200012,0.30
200101,0.45
200102,0.43
200103,0.55
200104,0.53
200105,0.57
200106,0.53
200107,0.62
200108,0.54
200109,0.55
200110,0.49
200111,0.68
200112,0.62
200201,0.68
200202,0.68
200203,0.83
200204,0.56
200205,0.65
200206,0.58
200207,0.64
200208,0.56
200209,0.61
200210,0.57
200211,0.57
200212,0.51
200301,0.72
200302,0.62
200303,0.59
200304,0.57
200305,0.60
200306,0.49
200307,0.57
200308,0.64
200309,0.68
200310,0.74
200311,0.56
200312,0.74
200401,0.62
200402,0.71
200403,0.67
200404,0.61
200405,0.39
200406,0.44
200407,0.36
200408,0.49
200409,0.55
200410,0.62
200411,0.70
200412,0.53
200501,0.76
200502,0.63
200503,0.75
200504,0.69
200505,0.66
200506,0.67
200507,0.64
200508,0.60
200509,0.70
200510,0.73
200511,0.77
200512,0.72
200601,0.60
200602,0.76
200603,0.66
200604,0.55
200605,0.55
200606,0.64
200607,0.56
200608,0.71
200609,0.67
200610,0.68
200611,0.68
200612,0.78
200701,0.92
200702,0.71
200703,0.68
200704,0.78
200705,0.64
200706,0.59
200707,0.59
200708,0.57
200709,0.60
200710,0.60
200711,0.57
200712,0.48
200801,0.28
200802,0.32
200803,0.70
200804,0.52
200805,0.51
200806,0.48
200807,0.59
200808,0.53
200809,0.61
200810,0.68
200811,0.70
200812,0.59
200901,0.67
200902,0.54
200903,0.53
200904,0.58
200905,0.62
200906,0.67
200907,0.74
200908,0.71
200909,0.76
200910,0.69
200911,0.76
200912,0.72
201001,0.77
201002,0.84
201003,0.89
201004,0.88
201005,0.78
201006,0.70
201007,0.67
201008,0.65
201009,0.65
201010,0.68
201011,0.77
201012,0.51
201101,0.56
201102,0.51
201103,0.65
201104,0.66
201105,0.55
201106,0.62
201107,0.70
201108,0.70
201109,0.62
201110,0.66
201111,0.55
201112,0.59
201201,0.51
201202,0.52
201203,0.53
201204,0.72
201205,0.75
201206,0.70
201207,0.63
201208,0.67
201209,0.74
201210,0.78
201211,0.75
201212,0.53
201301,0.68
201302,0.60
201303,0.66
201304,0.60
201305,0.66
201306,0.70
201307,0.62
201308,0.69
201309,0.76
201310,0.68
201311,0.79
201312,0.70
201401,0.75
201402,0.59
201403,0.79
201404,0.79
201405,0.83
201406,0.72
201407,0.65
201408,0.82
201409,0.84
201410,0.78
201411,0.67
201412,0.80
201501,0.83
201502,0.87
201503,0.93
201504,0.81
201505,0.82
201506,0.86
201507,0.79
201508,0.84
201509,0.93
201510,1.07
201511,1.04
201512,1.12
201601,1.21
201602,1.34
201603,1.33
201604,1.14
201605,0.96
201606,0.84
201607,0.87
201608,1.00
201609,0.95
201610,0.87
201611,0.93
201612,0.90
201701,1.04
201702,1.10
201703,1.11
201704,0.95
201705,0.91
201706,0.77
201707,0.85
201708,0.87
201709,0.86
201710,0.91
201711,0.89
201712,0.96
201801,0.84
201802,0.88
201803,0.88
201804,0.90
201805,0.83
201806,0.79
201807,0.84
201808,0.81
201809,0.82
201810,1.01
201811,0.84
201812,0.94
201901,0.92
201902,0.91
201903,1.15
201904,1.04
201905,0.91
201906,0.91
201907,0.92
201908,0.93
201909,0.94
201910,1.02
201911,0.98
201912,1.11
202001,1.16
202002,1.21
202003,1.14
202004,1.13
202005,0.99
202006,0.93
202007,0.91
202008,0.90
202009,1.00
202010,0.90
202011,1.06
202012,0.83
202101,0.83
202102,0.66
202103,0.88
202104,0.80
202105,0.81
202106,0.84
202107,0.90
202108,0.88
202109,0.93
202110,0.99
202111,0.93
202112,0.89
202201,0.92
202202,0.90
202203,1.07
202204,0.88
202205,0.82
202206,0.92
202207,0.90
202208,0.92
202209,0.88
202210,0.96
202211,0.74
202212,0.83
202301,0.89
202302,1.01
202303,1.23
202304,0.99
202305,0.97
202306,1.07
202307,1.18
202308,1.26
202309,1.43
202310,1.37
202311,1.42
202312,1.38
