Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
192605,-0.12
192606,-0.11
192607,-0.15
192608,-0.08
192609,-0.09
192610,-0.07
192611,-0.07
192612,-0.20
192701,-0.16
192702,-0.18
192703,-0.24
192704,-0.21
192705,-0.21
192706,-0.19
192707,-0.09
192708,-0.10
192709,-0.02
192710,0.03
192711,-0.03
192712,-0.30
192801,-0.06
192802,-0.13
192803,-0.25
192804,-0.23
192805,-0.17
192806,-0.27
192807,-0.17
192808,-0.19
192809,-0.18
192810,-0.11
192811,-0.06
192812,-0.15
192901,-0.47
192902,-0.52
192903,-0.25
192904,-0.29
192905,-0.28
192906,-0.27
192907,-0.27
192908,-0.20
192909,-0.20
192910,-0.10
192911,-0.09
192912,-0.50
193001,-0.32
193002,-0.20
193003,-0.05
193004,-0.19
193005,-0.19
193006,-0.11
193007,-0.05
193008,-0.07
193009,-0.10
193010,0.01
193011,0.15
193012,0.01
193101,-0.05
193102,-0.22
193103,-0.00
193104,-0.16
193105,-0.15
193106,-0.02
193107,-0.01
193108,-0.01
193109,-0.00
193110,0.01
193111,-0.11
193112,-0.10
193201,0.16
193202,-0.17
193203,-0.18
193204,-0.04
193205,-0.17
193206,-0.16
193207,-0.11
193208,-0.18
193209,-0.08
193210,-0.09
193211,-0.20
193212,-0.19
193301,-0.31
193302,-0.32
193303,-0.25
193304,-0.21
193305,-0.21
193306,-0.20
193307,-0.18
193308,-0.19
193309,-0.22
193310,-0.19
193311,-0.26
193312,-0.41
193401,-0.31
193402,-0.03
193403,-0.26
193404,-0.23
193405,-0.05
193406,-0.01
193407,-0.09
193408,-0.06
193409,-0.13
193410,-0.07
193411,0.01
193412,-0.03
193501,-0.29
193502,0.17
193503,-0.15
193504,-0.26
193505,-0.20
193506,-0.17
193507,-0.11
193508,-0.10
193509,-0.09
193510,-0.01
193511,-0.27
193512,-0.18
193601,-0.25
193602,-0.31
193603,-0.21
193604,-0.18
193605,-0.12
193606,-0.11
193607,-0.01
193608,-0.06
193609,-0.04
193610,-0.02
193611,-0.03
193612,-0.02
193701,-0.17
193702,0.04
193703,-0.18
193704,-0.13
193705,-0.02
193706,0.01
193707,-0.00
193708,0.09
193709,0.13
193710,0.11
193711,0.01
193712,-0.09
193801,-0.04
193802,-0.06
193803,0.03
193804,0.04
193805,-0.02
193806,-0.09
193807,-0.05
193808,-0.02
193809,0.03
193810,0.08
193811,0.00
193812,-0.26
193901,-0.17
193902,-0.12
193903,-0.19
193904,-0.14
193905,-0.04
193906,-0.01
193907,0.00
193908,0.05
193909,0.01
193910,-0.04
193911,0.04
193912,0.40
194001,-0.12
194002,0.05
194003,0.07
194004,0.12
194005,0.05
194006,0.10
194007,0.14
194008,0.09
194009,0.15
194010,0.10
194011,0.10
194012,0.27
194101,0.17
194102,0.22
194103,0.09
194104,0.22
194105,0.24
194106,0.16
194107,0.20
194108,0.17
194109,0.08
194110,0.31
194111,0.22
194112,0.20
194201,0.29
194202,0.09
194203,0.17
194204,0.19
194205,0.16
194206,0.20
194207,0.07
194208,0.04
194209,0.11
194210,0.14
194211,0.16
194212,0.15
194301,-0.03
194302,0.17
194303,0.07
194304,0.16
194305,0.13
194306,0.02
194307,0.18
194308,0.10
194309,0.14
194310,0.31
194311,0.24
194312,0.35
194401,0.42
194402,0.30
194403,0.36
194404,0.26
194405,0.27
194406,0.33
194407,0.31
194408,0.27
194409,0.38
194410,0.31
194411,0.14
194412,0.09
194501,0.15
194502,0.01
194503,0.10
194504,0.27
194505,0.17
194506,0.14
194507,0.16
194508,0.35
194509,0.25
194510,0.25
194511,0.19
194512,-0.06
194601,0.22
194602,0.08
194603,-0.01
194604,0.17
194605,-0.04
194606,-0.11
194607,-0.04
194608,-0.08
194609,-0.03
194610,-0.02
194611,-0.03
194612,-0.28
194701,-0.19
194702,-0.09
194703,-0.02
194704,0.01
194705,-0.03
194706,0.01
194707,-0.02
194708,-0.07
194709,-0.14
194710,0.05
194711,-0.03
194712,-0.15
194801,0.04
194802,-0.10
194803,-0.20
194804,-0.07
194805,0.14
194806,-0.02
194807,-0.07
194808,-0.03
194809,-0.11
194810,-0.08
194811,-0.06
194812,-0.12
194901,0.11
194902,-0.16
194903,-0.08
194904,0.00
194905,-0.02
194906,-0.15
194907,-0.08
194908,-0.03
194909,-0.07
194910,-0.04
194911,-0.05
194912,-0.19
195001,-0.28
195002,-0.24
195003,-0.09
195004,-0.17
195005,-0.06
195006,-0.06
195007,-0.11
195008,-0.15
195009,-0.11
195010,-0.18
195011,-0.37
195012,-0.19
195101,-0.30
195102,-0.42
195103,-0.18
195104,-0.09
